Time,Disk_Usage,,Reference_Time
1631995657,0,,1966
1631995659,306,,1968
1631995661,306,,1970
1631995662,0,,1971
1631995664,0,,1973
1631995666,306,,1975
1631995667,306,,1976
1631995669,306,,1978
1631995670,0,,1979
1631995672,0,,1981
1631995674,306,,1983
1631995675,306,,1984
1631995677,0,,1986
1631995678,0,,1987
1631995680,0,,1989
1631995682,306,,1991
1631995683,306,,1992
1631995685,0,,1994
1631995687,0,,1996
1631995688,306,,1997
1631995690,306,,1999
1631995691,306,,2000
1631995693,0,,2002
1631995695,0,,2004
1631995696,306,,2005
1631995698,306,,2007
1631995700,306,,2009
1631995701,0,,2010
1631995703,0,,2012
1631995705,306,,2014
1631995706,306,,2015
1631995708,0,,2017
1631995709,0,,2018
1631995711,0,,2020
1631995713,306,,2022
1631995714,306,,2023
1631995716,0,,2025
1631995718,0,,2027
1631995719,306,,2028
1631995721,306,,2030
1631995722,306,,2031
1631995724,0,,2033
1631995726,0,,2035
1631995727,306,,2036
1631995729,306,,2038
1631995730,306,,2039
1631995732,0,,2041
1631995734,0,,2043
1631995735,306,,2044
1631995737,306,,2046
1631995739,0,,2048
1631995740,0,,2049
1631995742,0,,2051
1631995743,305,,2052
1631995745,306,,2054
1631995747,0,,2056
1631995748,0,,2057
1631995750,306,,2059
1631995752,306,,2061
1631995753,306,,2062
1631995755,0,,2064
1631995756,0,,2065
1631995758,306,,2067
1631995760,305,,2069
1631995761,305,,2070
1631995763,0,,2072
1631995765,0,,2074
1631995766,306,,2075
1631995768,306,,2077
1631995770,0,,2079
1631995771,0,,2080
1631995773,0,,2082
1631995774,306,,2083
1631995776,306,,2085
1631995778,0,,2087
1631995779,0,,2088
1631995781,305,,2090
1631995783,305,,2092
1631995784,305,,2093
1631995786,0,,2095
1631995787,0,,2096
1631995789,305,,2098
1631995791,305,,2100
1631995792,0,,2101
1631995794,0,,2103
1631995795,0,,2104
1631995797,306,,2106
1631995799,306,,2108
1631995800,0,,2109
1631995802,0,,2111
1631995804,0,,2113
1631995805,306,,2114
1631995807,306,,2116
1631995809,0,,2118
1631995810,0,,2119
1631995812,306,,2121
1631995813,306,,2122
1631995815,306,,2124
1631995817,0,,2126
1631995818,0,,2127
1631995820,306,,2129
1631995822,306,,2131
1631995823,306,,2132
1631995825,0,,2134
1631995826,0,,2135
1631995828,305,,2137
1631995830,306,,2139
1631995831,0,,2140
1631995833,0,,2142
1631995835,0,,2144
1631995836,306,,2145
1631995838,306,,2147
1631995839,0,,2148
1631995841,0,,2150
1631995843,0,,2152
1631995844,305,,2153
1631995846,305,,2155
1631995848,0,,2157
1631995849,0,,2158
1631995851,305,,2160
1631995853,305,,2162
1631995854,306,,2163
1631995856,0,,2165
1631995857,0,,2166
