Time,Disk_Usage,,Reference_Time
1631983887,304,,1436
1631983888,304,,1437
1631983890,304,,1439
1631983892,304,,1441
1631983893,0,,1442
1631983895,304,,1444
1631983897,304,,1446
1631983898,304,,1447
1631983900,304,,1449
1631983902,0,,1451
1631983903,304,,1452
1631983905,304,,1454
1631983907,304,,1456
1631983909,304,,1458
1631983910,0,,1459
1631983912,304,,1461
1631983914,304,,1463
1631983915,304,,1464
1631983917,304,,1466
1631983919,0,,1468
1631983920,304,,1469
1631983922,304,,1471
1631983924,304,,1473
1631983926,304,,1475
1631983927,304,,1476
1631983929,304,,1478
1631983931,304,,1480
1631983932,0,,1481
1631983934,303,,1483
1631983936,304,,1485
1631983938,304,,1487
1631983939,304,,1488
1631983941,0,,1490
1631983943,304,,1492
1631983944,304,,1493
1631983946,304,,1495
1631983948,303,,1497
1631983950,0,,1499
1631983951,303,,1500
1631983953,303,,1502
1631983955,303,,1504
1631983956,304,,1505
1631983958,304,,1507
1631983960,304,,1509
1631983962,302,,1511
1631983963,0,,1512
1631983965,302,,1514
1631983967,304,,1516
1631983968,304,,1517
1631983970,304,,1519
1631983972,304,,1521
1631983974,304,,1523
1631983975,304,,1524
1631983977,0,,1526
1631983979,304,,1528
1631983980,304,,1529
1631983982,303,,1531
1631983984,303,,1533
1631983986,303,,1535
1631983987,303,,1536
1631983989,303,,1538
1631983991,0,,1540
1631983992,304,,1541
1631983994,304,,1543
1631983996,304,,1545
1631983997,304,,1546
1631983999,0,,1548
1631984001,304,,1550
1631984003,304,,1552
1631984004,304,,1553
1631984006,304,,1555
1631984008,0,,1557
1631984009,304,,1558
1631984011,304,,1560
1631984013,304,,1562
1631984015,304,,1564
1631984016,304,,1565
1631984018,304,,1567
1631984020,304,,1569
1631984021,304,,1570
1631984023,303,,1572
1631984025,303,,1574
1631984026,303,,1575
1631984028,303,,1577
1631984030,0,,1579
1631984032,304,,1581
1631984033,304,,1582
1631984035,304,,1584
1631984037,303,,1586
1631984038,0,,1587
1631984040,303,,1589
1631984042,304,,1591
1631984043,304,,1592
1631984045,304,,1594
1631984047,304,,1596
1631984048,304,,1597
1631984050,304,,1599
1631984052,304,,1601
1631984054,304,,1603
1631984055,0,,1604
1631984057,304,,1606
1631984059,304,,1608
1631984060,304,,1609
1631984062,304,,1611
1631984064,0,,1613
1631984066,304,,1615
1631984067,304,,1616
1631984069,304,,1618
1631984071,304,,1620
1631984072,304,,1621
1631984074,304,,1623
1631984076,304,,1625
1631984078,0,,1627
1631984079,304,,1628
1631984081,303,,1630
1631984083,303,,1632
1631984084,303,,1633
1631984086,302,,1635
1631984088,302,,1637
1631984090,302,,1639
1631984091,302,,1640
1631984093,304,,1642
1631984095,304,,1644
1631984096,304,,1645
1631984098,302,,1647
1631984100,0,,1649
1631984101,303,,1650
1631984103,304,,1652
1631984105,304,,1654
1631984107,304,,1656
1631984108,0,,1657
1631984110,304,,1659
1631984112,303,,1661
1631984113,303,,1662
1631984115,303,,1664
1631984117,0,,1666
1631984118,304,,1667
1631984120,304,,1669
1631984122,304,,1671
1631984124,304,,1673
1631984125,0,,1674
1631984127,304,,1676
1631984129,304,,1678
1631984130,304,,1679
1631984132,303,,1681
1631984134,303,,1683
1631984136,303,,1685
1631984137,304,,1686
1631984139,0,,1688
1631984141,304,,1690
1631984142,303,,1691
1631984144,303,,1693
1631984146,303,,1695
1631984148,0,,1697
1631984149,304,,1698
1631984151,304,,1700
1631984153,304,,1702
1631984154,304,,1703
1631984156,0,,1705
1631984158,304,,1707
1631984159,304,,1708
1631984161,304,,1710
1631984163,303,,1712
1631984165,303,,1714
1631984166,303,,1715
1631984168,304,,1717
1631984170,304,,1719
1631984171,304,,1720
1631984173,304,,1722
1631984175,304,,1724
1631984177,304,,1726
1631984178,0,,1727
1631984180,304,,1729
1631984182,304,,1731
1631984183,304,,1732
1631984185,304,,1734
1631984187,0,,1736
1631984188,304,,1737
1631984190,304,,1739
1631984192,304,,1741
1631984194,304,,1743
1631984195,0,,1744
1631984197,304,,1746
1631984199,304,,1748
1631984200,304,,1749
1631984202,304,,1751
1631984204,0,,1753
1631984205,304,,1754
1631984207,304,,1756
1631984209,304,,1758
1631984211,304,,1760
1631984212,304,,1761
1631984214,304,,1763
1631984216,304,,1765
1631984217,304,,1766
1631984219,304,,1768
1631984221,304,,1770
1631984222,303,,1771
1631984224,303,,1773
1631984226,303,,1775
1631984228,304,,1777
1631984229,0,,1778
1631984231,304,,1780
1631984233,304,,1782
1631984234,304,,1783
1631984236,304,,1785
1631984238,0,,1787
1631984239,304,,1788
1631984241,304,,1790
1631984243,304,,1792
1631984244,304,,1793
1631984246,0,,1795
1631984248,304,,1797
1631984250,304,,1799
1631984251,304,,1800
1631984253,304,,1802
1631984255,0,,1804
1631984256,304,,1805
1631984258,304,,1807
1631984260,0,,1809
1631984261,303,,1810
1631984263,303,,1812
1631984265,303,,1814
1631984267,303,,1816
1631984268,0,,1817
1631984270,303,,1819
1631984272,304,,1821
1631984273,304,,1822
1631984275,304,,1824
1631984277,0,,1826
1631984278,302,,1827
1631984280,302,,1829
1631984282,304,,1831
1631984284,304,,1833
1631984285,0,,1834
1631984287,304,,1836
1631984289,304,,1838
1631984290,304,,1839
1631984292,304,,1841
1631984294,0,,1843
1631984295,304,,1844
1631984297,303,,1846
1631984299,303,,1848
1631984301,303,,1850
1631984302,302,,1851
1631984304,302,,1853
1631984306,302,,1855
1631984307,303,,1856
1631984309,303,,1858
1631984311,303,,1860
1631984313,303,,1862
1631984314,303,,1863
1631984316,0,,1865
1631984318,304,,1867
1631984319,304,,1868
1631984321,304,,1870
1631984323,304,,1872
1631984324,0,,1873
1631984326,304,,1875
1631984328,304,,1877
1631984329,304,,1878
1631984331,304,,1880
1631984333,304,,1882
1631984334,304,,1883
1631984336,0,,1885
1631984338,304,,1887
1631984340,304,,1889
1631984341,304,,1890
1631984343,304,,1892
1631984345,304,,1894
1631984346,304,,1895
1631984348,304,,1897
1631984350,0,,1899
1631984351,304,,1900
1631984353,304,,1902
1631984355,304,,1904
1631984357,304,,1906
1631984358,0,,1907
1631984360,304,,1909
1631984362,304,,1911
1631984363,304,,1912
1631984365,304,,1914
1631984367,0,,1916
1631984368,304,,1917
1631984370,304,,1919
1631984372,304,,1921
1631984373,304,,1922
1631984375,304,,1924
1631984377,304,,1926
1631984378,304,,1927
1631984380,304,,1929
1631984382,304,,1931
1631984384,304,,1933
1631984385,304,,1934
1631984387,304,,1936
1631984389,304,,1938
1631984390,304,,1939
1631984392,0,,1941
1631984394,304,,1943
1631984396,304,,1945
1631984397,304,,1946
1631984399,304,,1948
1631984401,0,,1950
1631984402,304,,1951
1631984404,304,,1953
1631984406,304,,1955
1631984407,303,,1956
1631984409,0,,1958
1631984411,303,,1960
1631984412,304,,1961
1631984414,304,,1963
1631984416,304,,1965
1631984417,0,,1966
1631984419,304,,1968
1631984421,304,,1970
1631984423,304,,1972
1631984424,304,,1973
1631984426,0,,1975
1631984428,304,,1977
1631984429,304,,1978
1631984431,304,,1980
1631984433,302,,1982
1631984434,302,,1983
1631984436,302,,1985
1631984438,304,,1987
1631984439,304,,1988
1631984441,304,,1990
1631984443,304,,1992
1631984444,304,,1993
1631984446,304,,1995
1631984448,304,,1997
1631984450,304,,1999
1631984451,304,,2000
1631984453,304,,2002
1631984455,0,,2004
1631984456,304,,2005
1631984458,304,,2007
1631984460,304,,2009
1631984461,304,,2010
1631984463,303,,2012
1631984465,303,,2014
1631984467,304,,2016
1631984468,0,,2017
1631984470,304,,2019
1631984472,304,,2021
1631984473,304,,2022
1631984475,304,,2024
1631984477,0,,2026
1631984478,304,,2027
1631984480,304,,2029
1631984482,304,,2031
1631984484,304,,2033
1631984485,0,,2034
1631984487,304,,2036
1631984489,304,,2038
1631984490,304,,2039
1631984492,304,,2041
1631984494,0,,2043
1631984495,304,,2044
1631984497,304,,2046
1631984499,304,,2048
1631984500,304,,2049
1631984502,0,,2051
1631984504,304,,2053
1631984506,304,,2055
1631984507,304,,2056
1631984509,304,,2058
1631984511,0,,2060
1631984512,304,,2061
1631984514,304,,2063
1631984516,304,,2065
1631984517,303,,2066
1631984519,0,,2068
1631984521,303,,2070
1631984523,304,,2072
1631984524,304,,2073
1631984526,304,,2075
1631984528,0,,2077
1631984529,304,,2078
1631984531,304,,2080
1631984533,303,,2082
1631984534,303,,2083
1631984536,303,,2085
1631984538,304,,2087
1631984539,304,,2088
1631984541,304,,2090
1631984543,303,,2092
1631984544,303,,2093
1631984546,303,,2095
1631984548,303,,2097
1631984550,303,,2099
1631984551,303,,2100
1631984553,304,,2102
1631984555,304,,2104
1631984556,303,,2105
1631984558,303,,2107
1631984560,303,,2109
1631984561,303,,2110
1631984563,304,,2112
1631984565,0,,2114
1631984566,304,,2115
1631984568,304,,2117
1631984570,304,,2119
1631984572,304,,2121
1631984573,0,,2122
1631984575,304,,2124
1631984577,304,,2126
1631984578,304,,2127
1631984580,304,,2129
1631984582,304,,2131
1631984583,304,,2132
1631984585,304,,2134
1631984587,304,,2136
1631984588,304,,2137
1631984590,0,,2139
1631984592,304,,2141
1631984593,304,,2142
1631984595,304,,2144
1631984597,304,,2146
1631984598,0,,2147
1631984600,304,,2149
1631984602,303,,2151
1631984604,303,,2153
1631984605,303,,2154
1631984607,0,,2156
1631984609,304,,2158
1631984610,304,,2159
1631984612,304,,2161
1631984614,304,,2163
1631984615,304,,2164
1631984617,302,,2166
1631984619,302,,2168
1631984620,302,,2169
1631984622,304,,2171
1631984624,304,,2173
1631984625,304,,2174
1631984627,0,,2176
1631984629,304,,2178
1631984630,304,,2179
1631984632,304,,2181
1631984634,304,,2183
1631984635,0,,2184
1631984637,304,,2186
1631984639,304,,2188
1631984641,304,,2190
1631984642,304,,2191
1631984644,0,,2193
1631984646,304,,2195
1631984647,303,,2196
1631984649,303,,2198
1631984651,303,,2200
1631984652,0,,2201
1631984654,304,,2203
1631984656,304,,2205
1631984658,304,,2207
1631984659,304,,2208
1631984661,0,,2210
1631984663,303,,2212
1631984664,303,,2213
1631984666,303,,2215
1631984668,304,,2217
1631984669,304,,2218
1631984671,304,,2220
1631984673,304,,2222
1631984675,0,,2224
1631984676,304,,2225
1631984678,303,,2227
1631984680,303,,2229
1631984681,303,,2230
1631984683,0,,2232
1631984685,304,,2234
1631984687,304,,2236
1631984688,303,,2237
1631984690,303,,2239
1631984692,0,,2241
