Date_time,CPU,Memory_Bytes,Disk_Usage,,Ref_time
1629344646,6.15931E+12,2484756480,78856,,17412
1629344647,6.15995E+12,2524037120,78860,,17413
1629344648,6.16123E+12,2485108736,78864,,17414
1629344650,6.16145E+12,2494074880,78864,,17416
1629344651,6.1631E+12,2484785152,78868,,17417
1629344652,6.16318E+12,2484764672,78872,,17418
1629344653,6.16325E+12,2484879360,78872,,17419
1629344655,6.16332E+12,2484961280,78876,,17421
1629344656,6.16339E+12,2485030912,78880,,17422
1629344658,6.16504E+12,2570014720,78884,,17424
1629344659,6.16528E+12,2484916224,78884,,17425
1629344660,6.16535E+12,2484756480,78888,,17426
1629344662,6.16541E+12,2484731904,78892,,17428
1629344663,6.1655E+12,2484912128,78896,,17429
1629344664,6.16557E+12,2484830208,78900,,17430
1629344665,6.16564E+12,2484838400,78900,,17431
1629344667,6.1657E+12,2484887552,78904,,17433
1629344668,6.16759E+12,2485063680,78908,,17434
1629344669,6.16765E+12,2485084160,78908,,17435
1629344671,6.16771E+12,2485006336,78912,,17437
1629344672,6.16777E+12,2485256192,78916,,17438
1629344673,6.16784E+12,2484912128,78920,,17439
1629344675,6.1679E+12,2485354496,78920,,17441
1629344676,6.16804E+12,2484879360,78924,,17442
1629344677,6.16888E+12,2523205632,78928,,17443
1629344679,6.17037E+12,2485067776,78932,,17445
1629344680,6.17066E+12,2497499136,78932,,17446
1629344681,6.17249E+12,2484871168,78936,,17447
1629344682,6.17256E+12,2484928512,78940,,17448
1629344684,6.17264E+12,2485067776,78944,,17450
1629344685,6.1727E+12,2484834304,78948,,17451
1629344686,6.17277E+12,2484826112,78948,,17452
1629344688,6.17426E+12,2558586880,78952,,17454
1629344689,6.1749E+12,2485215232,78956,,17455
1629344690,6.17498E+12,2485067776,78956,,17456
1629344692,6.17505E+12,2484842496,78960,,17458
1629344693,6.17512E+12,2484858880,78964,,17459
1629344694,6.17527E+12,2484899840,78968,,17460
1629344696,6.17534E+12,2484899840,78968,,17462
1629344697,6.17552E+12,2490392576,78972,,17463
1629344698,6.1776E+12,2485010432,78976,,17464
1629344699,6.17767E+12,2484895744,78976,,17465
1629344701,6.17774E+12,2485137408,78980,,17467
1629344702,6.17781E+12,2485018624,78984,,17468
1629344703,6.17788E+12,2484772864,78988,,17469
1629344705,6.17796E+12,2484805632,78988,,17471
1629344706,6.17803E+12,2484768768,78992,,17472
1629344707,6.17899E+12,2550837248,78996,,17473
1629344709,6.18008E+12,2484797440,79000,,17475
1629344710,6.18077E+12,2524467200,79000,,17476
1629344711,6.18211E+12,2484936704,79004,,17477
1629344713,6.18219E+12,2484785152,79008,,17479
1629344714,6.18227E+12,2484752384,79012,,17480
1629344715,6.18234E+12,2484781056,79016,,17481
1629344716,6.18241E+12,2484805632,79016,,17482
1629344717,6.18351E+12,2555158528,79020,,17483
1629344719,6.18446E+12,2484850688,79024,,17485
1629344720,6.18453E+12,2484932608,79024,,17486
1629344722,6.1846E+12,2484989952,79028,,17488
1629344723,6.18468E+12,2484973568,79032,,17489
1629344724,6.18474E+12,2484965376,79032,,17490
1629344726,6.18482E+12,2484940800,79036,,17492
1629344727,6.1856E+12,2532438016,79040,,17493
1629344729,6.1869E+12,2485039104,79044,,17495
1629344730,6.18697E+12,2485170176,79044,,17496
1629344731,6.18703E+12,2484801536,79048,,17497
1629344732,6.1871E+12,2484899840,79048,,17498
1629344734,6.18718E+12,2485141504,79052,,17500
1629344735,6.18725E+12,2485035008,79056,,17501
1629344736,6.18732E+12,2485116928,79056,,17502
1629344738,6.18873E+12,2557628416,79060,,17504
1629344739,6.18944E+12,2485231616,79064,,17505
1629344740,6.19091E+12,2559631360,79068,,17506
1629344742,6.19146E+12,2484809728,79068,,17508
1629344743,6.19153E+12,2485116928,79072,,17509
1629344744,6.1916E+12,2484936704,79076,,17510
1629344746,6.19167E+12,2484920320,79076,,17512
1629344747,6.19211E+12,2511872000,79080,,17513
1629344748,6.19368E+12,2484916224,79084,,17514
1629344750,6.19375E+12,2485149696,79084,,17516
1629344751,6.19383E+12,2485039104,79088,,17517
1629344753,6.19391E+12,2485088256,79092,,17519
1629344754,6.19399E+12,2484940800,79092,,17520
1629344755,6.19406E+12,2484932608,79096,,17521
1629344757,6.19528E+12,2520752128,79100,,17523
1629344759,6.19681E+12,2485198848,79104,,17525
1629344761,6.19689E+12,2485006336,79104,,17527
1629344762,6.19697E+12,2485100544,79108,,17528
1629344763,6.19706E+12,2485030912,79112,,17529
1629344765,6.19714E+12,2485112832,79116,,17531
1629344766,6.19723E+12,2485186560,79116,,17532
1629344767,6.19748E+12,2487586816,79120,,17533
1629344769,6.19981E+12,2485088256,79124,,17535
1629344770,6.2E+12,2486456320,79124,,17536
1629344771,6.20236E+12,2573475840,79128,,17537
1629344773,6.2026E+12,2485018624,79132,,17539
1629344774,6.2027E+12,2485198848,79136,,17540
1629344776,6.2028E+12,2484948992,79136,,17542
1629344777,6.20288E+12,2485014528,79140,,17543
1629344778,6.2046E+12,2559934464,79144,,17544
1629344780,6.20526E+12,2485051392,79144,,17546
1629344781,6.20534E+12,2484985856,79148,,17547
1629344782,6.20541E+12,2485194752,79152,,17548
1629344784,6.20548E+12,2485010432,79152,,17550
1629344785,6.20557E+12,2485252096,79156,,17551
1629344786,6.20567E+12,2485092352,79160,,17552
1629344788,6.20653E+12,2526740480,79160,,17554
1629344789,6.20817E+12,2485219328,79164,,17555
1629344790,6.20827E+12,2485153792,79168,,17556
1629344792,6.20837E+12,2485026816,79168,,17558
1629344793,6.20847E+12,2485215232,79172,,17559
1629344795,6.20857E+12,2485022720,79176,,17561
1629344796,6.20866E+12,2484776960,79180,,17562
1629344797,6.20917E+12,2507120640,79180,,17563
1629344799,6.21117E+12,2485125120,79184,,17565
1629344800,6.21184E+12,2511618048,79188,,17566
1629344802,6.21368E+12,2485137408,79188,,17568
1629344803,6.21376E+12,2485276672,79192,,17569
1629344805,6.21384E+12,2485215232,79196,,17571
1629344806,6.21392E+12,2484944896,79196,,17572
1629344808,6.21486E+12,2525716480,79200,,17574
1629344809,6.21655E+12,2485329920,79204,,17575
1629344811,6.21662E+12,2485342208,79204,,17577
1629344812,6.21672E+12,2485014528,79208,,17578
1629344814,6.21682E+12,2485145600,79212,,17580
1629344815,6.21689E+12,2485350400,79212,,17581
1629344816,6.21697E+12,2484957184,79216,,17582
1629344818,6.2178E+12,2519248896,79216,,17584
1629344819,6.21948E+12,2485129216,79220,,17585
1629344821,6.21956E+12,2485141504,79224,,17587
1629344822,6.21965E+12,2485059584,79224,,17588
1629344824,6.21975E+12,2485268480,79228,,17590
1629344825,6.21984E+12,2485161984,79232,,17591
1629344827,6.21991E+12,2485055488,79232,,17593
1629344828,6.22123E+12,2551676928,79236,,17594
1629344829,6.22267E+12,2485207040,79240,,17595
1629344831,6.22428E+12,2555285504,79240,,17597
1629344833,6.22533E+12,2484768768,79244,,17599
1629344834,6.22545E+12,2484989952,79244,,17600
1629344836,6.22557E+12,2485014528,79248,,17602
1629344837,6.22565E+12,2484891648,79252,,17603
1629344838,6.22811E+12,2485166080,79256,,17604
1629344840,6.22821E+12,2484834304,79256,,17606
1629344841,6.22833E+12,2485112832,79260,,17607
1629344843,6.22842E+12,2484908032,79260,,17609
1629344844,6.22853E+12,2484895744,79264,,17610
1629344846,6.22865E+12,2484989952,79268,,17612
1629344847,6.22879E+12,2484858880,79268,,17613
1629344849,6.23129E+12,2572681216,79272,,17615
1629344850,6.23148E+12,2485444608,79276,,17616
1629344851,6.23161E+12,2485100544,79276,,17617
1629344853,6.23175E+12,2485010432,79280,,17619
1629344854,6.23187E+12,2484944896,79284,,17620
1629344856,6.23199E+12,2484895744,79284,,17622
1629344857,6.23211E+12,2485047296,79288,,17623
1629344858,6.23389E+12,2566184960,79292,,17624
1629344860,6.23445E+12,2485059584,79292,,17626
1629344861,6.23668E+12,2570645504,79296,,17627
1629344863,6.23685E+12,2485288960,79300,,17629
