current_allocated_disk_space,unused_allocated_disk_space,total_downtime,predicted_disk_space
6184,1236,1,4948
6184,1232,1,4952
6184,1228,1,4956
6184,1224,1,4960
6184,1220,1,4964
6184,1216,1,4968
6184,1212,1,4972
6184,1208,1,4976
6184,1204,1,4980
6184,1200,1,4984
6184,1196,1,4988
6184,1192,1,4992
6184,1188,1,4996
6184,1184,1,5000
6184,1180,1,5004
6184,1176,1,5008
6184,1172,1,5012
6184,1168,1,5016
6184,1168,1,5016
6184,1164,1,5020
6184,1160,1,5024
6184,1156,1,5028
6184,1152,1,5032
6184,1148,1,5036
6184,1144,1,5040
6184,1140,1,5044
6184,1136,1,5048
6184,1132,1,5052
6184,1128,1,5056
6184,1124,1,5060
6184,1120,1,5064
6184,1116,1,5068
6184,1112,1,5072
6184,1108,1,5076
6184,1104,1,5080
6184,1100,1,5084
6184,1096,1,5088
6184,1092,1,5092
6184,1088,1,5096
6184,1084,1,5100
6184,1080,1,5104
6184,1076,1,5108
6184,1072,1,5112
6184,1068,1,5116
6184,1064,1,5120
6184,1060,1,5124
6184,1056,1,5128
6184,1052,1,5132
6184,1048,1,5136
6184,1044,1,5140
6184,1040,1,5144
6184,840,1,5344
6184,836,1,5348
6184,832,1,5352
6184,828,1,5356
6184,824,1,5360
6184,820,1,5364
6184,816,1,5368
6184,812,1,5372
6184,808,1,5376
6184,804,1,5380
6184,800,1,5384
6184,796,1,5388
6184,792,1,5392
6184,788,1,5396
6184,784,1,5400
6184,780,1,5404
6184,776,1,5408
6184,772,1,5412
6184,768,1,5416
6184,764,1,5420
6184,760,1,5424
6184,756,1,5428
6184,752,1,5432
6184,748,1,5436
6184,744,1,5440
6184,740,1,5444
6184,732,1,5452
6184,728,1,5456
6184,724,1,5460
6184,720,1,5464
6184,716,1,5468
6184,712,1,5472
6184,708,1,5476
6184,704,1,5480
6184,700,1,5484
6184,696,1,5488
6184,692,1,5492
6184,688,1,5496
6184,684,1,5500
6184,680,1,5504
6184,676,1,5508
6184,672,1,5512
6184,668,1,5516
6184,664,1,5520
6184,660,1,5524
6184,656,1,5528
6184,652,1,5532
6184,648,1,5536
6184,644,1,5540
6184,640,1,5544
6184,636,1,5548
6184,632,1,5552
6184,628,1,5556
6184,624,1,5560
6184,620,1,5564
6184,612,1,5572
6184,608,1,5576
6184,604,1,5580
6184,600,1,5584
6184,596,1,5588
6184,592,1,5592
6184,588,1,5596
6184,584,1,5600
6184,580,1,5604
6184,576,1,5608
6184,572,1,5612
6184,568,1,5616
6184,564,1,5620
6184,560,1,5624
6184,556,1,5628
6184,552,1,5632
6184,548,1,5636
6184,540,1,5644
6184,536,1,5648
6184,532,1,5652
6184,528,1,5656
6184,524,1,5660
6184,520,1,5664
6184,516,1,5668
6184,512,1,5672
6184,508,1,5676
6184,504,1,5680
6184,500,1,5684
6184,496,1,5688
6184,492,1,5692
6184,484,1,5700
6184,480,1,5704
6184,476,1,5708
6184,472,1,5712
