Date_time,CPU,Memory_Bytes,Disk_Usage,,Date_and_time
1629682911,6.42596E+11,469725184,244296,,6159
1629682913,6.42654E+11,469811200,244304,,6161
1629682914,6.42695E+11,469889024,244308,,6162
1629682915,6.42737E+11,469708800,244312,,6163
1629682916,6.42784E+11,469774336,244316,,6164
1629682917,6.42831E+11,470003712,244324,,6165
1629682919,6.42887E+11,469897216,244328,,6167
1629682920,6.42928E+11,469798912,244332,,6168
1629682921,6.42969E+11,469819392,244336,,6169
1629682922,6.43016E+11,469741568,244340,,6170
1629682923,6.43074E+11,469913600,244344,,6171
1629682925,6.43119E+11,469815296,244352,,6173
1629682926,6.43165E+11,469872640,244356,,6174
1629682927,6.43211E+11,469831680,244360,,6175
1629682928,6.43268E+11,469929984,244368,,6176
1629682929,6.43308E+11,469917696,244372,,6177
1629682931,6.43348E+11,469815296,244376,,6179
1629682932,6.4339E+11,469872640,244380,,6180
1629682933,6.43445E+11,469819392,244384,,6181
1629682934,6.43487E+11,470032384,244392,,6182
1629682935,6.43534E+11,470048768,244396,,6183
1629682937,6.43577E+11,469770240,244400,,6185
1629682938,6.4362E+11,469934080,244408,,6186
1629682939,6.43678E+11,469893120,244412,,6187
1629682940,6.43717E+11,469794816,244416,,6188
1629682941,6.43763E+11,469970944,244420,,6189
1629682943,6.438E+11,469929984,244424,,6191
1629682944,6.43857E+11,470077440,244428,,6192
1629682945,6.43905E+11,469901312,244436,,6193
1629682946,6.43942E+11,469950464,244436,,6194
1629682948,6.43982E+11,469925888,244440,,6196
1629682949,6.44039E+11,469798912,244448,,6197
1629682950,6.44079E+11,470069248,244452,,6198
1629682951,6.44121E+11,470036480,244456,,6199
1629682952,6.44161E+11,469962752,244460,,6200
1629682954,6.44218E+11,470069248,244464,,6202
1629682955,6.44265E+11,469999616,244468,,6203
1629682956,6.4431E+11,469958656,244472,,6204
1629682957,6.44354E+11,469803008,244476,,6205
1629682959,6.44412E+11,470200320,244480,,6207
1629682960,6.44455E+11,470175744,244488,,6208
1629682961,6.44503E+11,470052864,244492,,6209
1629682962,6.44547E+11,470077440,244496,,6210
1629682963,6.44602E+11,470159360,244504,,6211
1629682965,6.44646E+11,470036480,244508,,6213
1629682966,6.44689E+11,470097920,244512,,6214
1629682967,6.44734E+11,470130688,244516,,6215
1629682968,6.44789E+11,470032384,244524,,6216
1629682970,6.44829E+11,469950464,244528,,6218
1629682971,6.44876E+11,470077440,244532,,6219
1629682972,6.44915E+11,469999616,244536,,6220
1629682973,6.44974E+11,469934080,244540,,6221
1629682974,6.45017E+11,470056960,244544,,6222
1629682976,6.45057E+11,469909504,244548,,6224
1629682977,6.45098E+11,470036480,244552,,6225
1629682978,6.45155E+11,470085632,244560,,6226
1629682979,6.45195E+11,470028288,244564,,6227
1629682980,6.45235E+11,470097920,244568,,6228
1629682982,6.45278E+11,470171648,244572,,6230
1629682983,6.45335E+11,470237184,244576,,6231
1629682984,6.45379E+11,470020096,244580,,6232
1629682985,6.45426E+11,470061056,244584,,6233
1629682986,6.45469E+11,470310912,244588,,6234
1629682988,6.45517E+11,470052864,244596,,6236
1629682989,6.45578E+11,470142976,244600,,6237
1629682990,6.45622E+11,470265856,244604,,6238
1629682991,6.45664E+11,470011904,244608,,6239
1629682993,6.4571E+11,470048768,244616,,6241
1629682994,6.45764E+11,470286336,244620,,6242
1629682995,6.4581E+11,470286336,244624,,6243
1629682996,6.45854E+11,470364160,244628,,6244
1629682997,6.45898E+11,470368256,244632,,6245
1629682999,6.45957E+11,470228992,244640,,6247
1629683000,6.46E+11,470114304,244644,,6248
1629683001,6.46043E+11,470351872,244648,,6249
1629683002,6.46086E+11,470384640,244652,,6250
1629683003,6.46143E+11,470228992,244656,,6251
1629683005,6.4619E+11,470278144,244664,,6253
1629683006,6.46236E+11,470183936,244668,,6254
1629683007,6.4628E+11,470261760,244672,,6255
1629683008,6.46328E+11,470204416,244676,,6256
1629683009,6.46375E+11,470163456,244680,,6257
1629683011,6.46417E+11,470179840,244684,,6259
1629683012,6.46458E+11,470269952,244688,,6260
1629683013,6.46517E+11,470351872,244692,,6261
1629683014,6.46561E+11,470351872,244700,,6262
1629683015,6.46609E+11,470220800,244704,,6263
1629683017,6.46658E+11,470409216,244708,,6265
1629683018,6.46716E+11,470278144,244716,,6266
1629683019,6.4676E+11,470495232,244720,,6267
1629683020,6.46807E+11,470315008,244724,,6268
1629683021,6.46851E+11,470204416,244728,,6269
1629683023,6.46904E+11,470364160,244732,,6271
1629683024,6.46945E+11,470413312,244740,,6272
1629683025,6.46991E+11,470450176,244744,,6273
1629683026,6.47032E+11,470298624,244748,,6274
1629683028,6.47074E+11,470278144,244756,,6276
1629683029,6.47125E+11,470409216,244760,,6277
1629683030,6.47162E+11,470351872,244764,,6278
1629683031,6.47207E+11,470401024,244768,,6279
1629683032,6.47246E+11,470310912,244772,,6280
1629683034,6.473E+11,470441984,244776,,6282
1629683035,6.47342E+11,470380544,244780,,6283
1629683036,6.47383E+11,470368256,244784,,6284
1629683037,6.47426E+11,470405120,244788,,6285
1629683038,6.47485E+11,470437888,244796,,6286
1629683040,6.47526E+11,470519808,244800,,6288
1629683041,6.47569E+11,470278144,244804,,6289
1629683042,6.47616E+11,470474752,244808,,6290
1629683043,6.4767E+11,470495232,244812,,6291
1629683045,6.47704E+11,470228992,244816,,6293
1629683046,6.47746E+11,470216704,244820,,6294
1629683047,6.47787E+11,470294528,244824,,6295
1629683048,6.47841E+11,470441984,244828,,6296
1629683050,6.47885E+11,470429696,244836,,6298
1629683051,6.47925E+11,470380544,244836,,6299
1629683052,6.47966E+11,470511616,244840,,6300
1629683053,6.48026E+11,470446080,244848,,6301
1629683054,6.48065E+11,470585344,244852,,6302
1629683056,6.48106E+11,470429696,244852,,6304
1629683057,6.48147E+11,470421504,244860,,6305
1629683058,6.48203E+11,470573056,244864,,6306
1629683059,6.48242E+11,470478848,244868,,6307
1629683060,6.48279E+11,470683648,244872,,6308
1629683062,6.48319E+11,470609920,244876,,6310
1629683063,6.48374E+11,470458368,244880,,6311
1629683064,6.48413E+11,470597632,244884,,6312
1629683065,6.4846E+11,470614016,244888,,6313
1629683067,6.48504E+11,470646784,244892,,6315
1629683068,6.48563E+11,470708224,244900,,6316
1629683069,6.48599E+11,470675456,244904,,6317
1629683070,6.48636E+11,470843392,244908,,6318
1629683072,6.48678E+11,470736896,244912,,6320
1629683073,6.4873E+11,470740992,244916,,6321
1629683074,6.48762E+11,470614016,244916,,6322
1629683075,6.48803E+11,470609920,244920,,6323
