Date_time,CPU,Memory_Bytes,Disk_Usage,,Ref_Date_time
1629286368,1.97E+13,2491793408,68944,,6798
1629286369,1.97E+13,2491944960,68948,,6799
1629286370,1.97E+13,2567823360,68952,,6800
1629286371,1.97E+13,2492104704,68956,,6801
1629286372,1.97E+13,2492006400,68960,,6802
1629286374,1.97E+13,2491949056,68968,,6804
1629286375,1.97E+13,2492014592,68972,,6805
1629286376,1.97E+13,2491990016,68976,,6806
1629286377,1.97E+13,2491789312,68980,,6807
1629286378,1.97E+13,2491846656,68984,,6808
1629286380,1.97E+13,2527907840,68988,,6810
1629286381,1.97E+13,2492063744,68996,,6811
1629286382,1.97E+13,2561875968,69000,,6812
1629286383,1.97E+13,2492043264,69004,,6813
1629286384,1.97E+13,2491957248,69008,,6814
1629286385,1.97E+13,2492055552,69012,,6815
1629286387,1.97E+13,2492059648,69016,,6817
1629286388,1.97E+13,2491887616,69024,,6818
1629286389,1.97E+13,2492059648,69028,,6819
1629286390,1.97E+13,2567499776,69032,,6820
1629286391,1.97E+13,2492166144,69036,,6821
1629286392,1.97E+13,2492182528,69040,,6822
1629286394,1.97E+13,2491932672,69044,,6824
1629286395,1.97E+13,2492149760,69048,,6825
1629286396,1.97E+13,2491621376,69056,,6826
1629286397,1.97E+13,2491551744,69060,,6827
1629286398,1.97E+13,2491785216,69064,,6828
1629286399,1.97E+13,2516013056,69068,,6829
1629286401,1.97E+13,2491752448,69072,,6831
1629286402,1.97E+13,2491871232,69076,,6832
1629286403,1.97E+13,2491949056,69080,,6833
1629286404,1.97E+13,2491633664,69088,,6834
1629286405,1.97E+13,2491670528,69092,,6835
1629286406,1.97E+13,2491588608,69096,,6836
1629286408,1.97E+13,2491416576,69100,,6838
1629286409,1.97E+13,2491756544,69104,,6839
1629286410,1.97E+13,2563059712,69108,,6840
1629286411,1.97E+13,2491826176,69112,,6841
1629286412,1.97E+13,2579664896,69116,,6842
1629286413,1.97E+13,2491654144,69124,,6843
1629286415,1.97E+13,2491826176,69128,,6845
1629286416,1.97E+13,2491609088,69132,,6846
1629286417,1.97E+13,2491736064,69136,,6847
1629286418,1.97E+13,2491756544,69140,,6848
1629286419,1.97E+13,2500960256,69144,,6849
